OMRÅDE;CIVILSTAND;TID;INDHOLD
København;I alt;2020K1;632340
København;I alt;2020K2;633449
København;I alt;2020K3;633035
København;I alt;2020K4;637936
København;Ugift;2020K1;412512
København;Ugift;2020K2;414072
København;Ugift;2020K3;414218
København;Ugift;2020K4;417782
Aarhus;I alt;2020K1;349983
Aarhus;I alt;2020K2;349956
Aarhus;I alt;2020K3;349433
Aarhus;I alt;2020K4;353445
Aarhus;Ugift;2020K1;208509
Aarhus;Ugift;2020K2;208755
Aarhus;Ugift;2020K3;208470
Aarhus;Ugift;2020K4;211863
Odense;I alt;2020K1;204895
Odense;I alt;2020K2;205106
Odense;I alt;2020K3;204718
Odense;I alt;2020K4;205881
Odense;Ugift;2020K1;112490
Odense;Ugift;2020K2;112889
Odense;Ugift;2020K3;112672
Odense;Ugift;2020K4;113639
Aalborg;I alt;2020K1;217075
Aalborg;I alt;2020K2;217063
Aalborg;I alt;2020K3;217316
Aalborg;I alt;2020K4;219310
Aalborg;Ugift;2020K1;118194
Aalborg;Ugift;2020K2;118355
Aalborg;Ugift;2020K3;118694
Aalborg;Ugift;2020K4;120226
Esbjerg;I alt;2020K1;115483
Esbjerg;I alt;2020K2;115657
Esbjerg;I alt;2020K3;115650
Esbjerg;I alt;2020K4;115498
Esbjerg;Ugift;2020K1;55014
Esbjerg;Ugift;2020K2;55260
Esbjerg;Ugift;2020K3;55330
Esbjerg;Ugift;2020K4;55161
