TID;CIVILSTAND;ALDER;INDHOLD
2020K4;Ugift;I alt;2859116
2020K4;Ugift;0 år;61381
2020K4;Ugift;1 år;61650
2020K4;Ugift;2 år;62532
2020K4;Ugift;3 år;61928
2020K4;Ugift;4 år;62597
2020K4;Ugift;5 år;59132
2020K4;Ugift;6 år;58528
2020K4;Ugift;7 år;59354
2020K4;Ugift;8 år;60586
2020K4;Ugift;9 år;63442
2020K4;Ugift;10 år;66642
2020K4;Ugift;11 år;66984
2020K4;Ugift;12 år;69063
2020K4;Ugift;13 år;67463
2020K4;Ugift;14 år;68501
2020K4;Ugift;15 år;68110
2020K4;Ugift;16 år;68059
2020K4;Ugift;17 år;67736
2020K4;Ugift;18 år;67886
2020K4;Ugift;19 år;70314
2020K4;Ugift;20 år;71873
2020K4;Ugift;21 år;72919
2020K4;Ugift;22 år;73281
2020K4;Ugift;23 år;76513
2020K4;Ugift;24 år;74894
2020K4;Ugift;25 år;76716
2020K4;Ugift;26 år;72077
2020K4;Ugift;27 år;68725
2020K4;Ugift;28 år;64341
2020K4;Ugift;29 år;58801
2020K4;Ugift;30 år;53898
2020K4;Ugift;31 år;48657
2020K4;Ugift;32 år;42918
2020K4;Ugift;33 år;38418
2020K4;Ugift;34 år;35288
2020K4;Ugift;35 år;32035
2020K4;Ugift;36 år;28768
2020K4;Ugift;37 år;26542
2020K4;Ugift;38 år;25126
2020K4;Ugift;39 år;23939
2020K4;Ugift;40 år;23638
2020K4;Ugift;41 år;22435
2020K4;Ugift;42 år;21848
2020K4;Ugift;43 år;20471
2020K4;Ugift;44 år;20984
2020K4;Ugift;45 år;21246
2020K4;Ugift;46 år;19926
2020K4;Ugift;47 år;19284
2020K4;Ugift;48 år;19343
2020K4;Ugift;49 år;18116
2020K4;Ugift;50 år;16711
2020K4;Ugift;51 år;16501
2020K4;Ugift;52 år;16584
2020K4;Ugift;53 år;17551
2020K4;Ugift;54 år;17493
2020K4;Ugift;55 år;16433
2020K4;Ugift;56 år;15761
2020K4;Ugift;57 år;14757
2020K4;Ugift;58 år;13577
2020K4;Ugift;59 år;12616
2020K4;Ugift;60 år;11951
2020K4;Ugift;61 år;11161
2020K4;Ugift;62 år;10690
2020K4;Ugift;63 år;10048
2020K4;Ugift;64 år;9495
2020K4;Ugift;65 år;8689
2020K4;Ugift;66 år;8074
2020K4;Ugift;67 år;7504
2020K4;Ugift;68 år;6670
2020K4;Ugift;69 år;5928
2020K4;Ugift;70 år;5457
2020K4;Ugift;71 år;4815
2020K4;Ugift;72 år;4407
2020K4;Ugift;73 år;4290
2020K4;Ugift;74 år;3913
2020K4;Ugift;75 år;3277
2020K4;Ugift;76 år;2859
2020K4;Ugift;77 år;2361
2020K4;Ugift;78 år;1973
2020K4;Ugift;79 år;1652
2020K4;Ugift;80 år;1509
